"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"212",2016-01-30,"Getafe","Ath Bilbao",0,1,"A"
"213",2016-01-30,"Sociedad","Betis",2,1,"H"
"214",2016-01-30,"Villarreal","Granada",1,0,"H"
"215",2016-01-31,"Las Palmas","Celta",2,1,"H"
"216",2016-01-31,"Real Madrid","Espanol",6,0,"H"
"217",2016-01-31,"Sevilla","Levante",3,1,"H"
"218",2016-01-31,"Valencia","Sp Gijon",0,1,"A"
"219",2016-02-01,"La Coruna","Vallecano",2,2,"D"
"220",2016-02-05,"Malaga","Getafe",3,0,"H"
"221",2016-02-06,"Ath Bilbao","Villarreal",0,0,"D"
"222",2016-02-06,"Ath Madrid","Eibar",3,1,"H"
"223",2016-02-06,"Sp Gijon","La Coruna",1,1,"D"
"224",2016-02-06,"Vallecano","Las Palmas",2,0,"H"
"225",2016-02-07,"Betis","Valencia",1,0,"H"
"226",2016-02-07,"Celta","Sevilla",1,1,"D"
"227",2016-02-07,"Granada","Real Madrid",1,2,"A"
"228",2016-02-07,"Levante","Barcelona",0,2,"A"
"229",2016-02-08,"Espanol","Sociedad",0,5,"A"
"230",2016-02-12,"Sp Gijon","Vallecano",2,2,"D"
"231",2016-02-13,"La Coruna","Betis",2,2,"D"
"232",2016-02-13,"Real Madrid","Ath Bilbao",4,2,"H"
"233",2016-02-13,"Valencia","Espanol",2,1,"H"
"234",2016-02-13,"Villarreal","Malaga",1,0,"H"
"235",2016-02-14,"Barcelona","Celta",6,1,"H"
"236",2016-02-14,"Eibar","Levante",2,0,"H"
"237",2016-02-14,"Getafe","Ath Madrid",0,1,"A"
"238",2016-02-14,"Sevilla","Las Palmas",2,0,"H"
"239",2016-02-14,"Sociedad","Granada",3,0,"H"
"240",2016-02-17,"Sp Gijon","Barcelona",1,3,"A"
"241",2016-02-19,"Levante","Getafe",3,0,"H"
"242",2016-02-20,"Betis","Sp Gijon",1,1,"D"
"243",2016-02-20,"Celta","Eibar",3,2,"H"
"244",2016-02-20,"Espanol","La Coruna",1,0,"H"
"245",2016-02-20,"Las Palmas","Barcelona",1,2,"A"
"246",2016-02-21,"Ath Bilbao","Sociedad",0,1,"A"
"247",2016-02-21,"Ath Madrid","Villarreal",0,0,"D"
"248",2016-02-21,"Granada","Valencia",1,2,"A"
"249",2016-02-21,"Malaga","Real Madrid",1,1,"D"
"250",2016-02-21,"Vallecano","Sevilla",2,2,"D"
"251",2016-02-26,"Eibar","Las Palmas",0,1,"A"
"252",2016-02-27,"Betis","Vallecano",2,2,"D"
"253",2016-02-27,"Getafe","Celta",0,1,"A"
"254",2016-02-27,"Real Madrid","Ath Madrid",0,1,"A"
"255",2016-02-27,"Sociedad","Malaga",1,1,"D"
"256",2016-02-27,"Sp Gijon","Espanol",2,4,"A"
"257",2016-02-28,"Barcelona","Sevilla",2,1,"H"
"258",2016-02-28,"La Coruna","Granada",0,1,"A"
"259",2016-02-28,"Valencia","Ath Bilbao",0,3,"A"
"260",2016-02-28,"Villarreal","Levante",3,0,"H"
"261",2016-03-01,"Ath Madrid","Sociedad",3,0,"H"
"262",2016-03-01,"Las Palmas","Getafe",4,0,"H"
"263",2016-03-02,"Ath Bilbao","La Coruna",4,1,"H"
"264",2016-03-02,"Celta","Villarreal",0,0,"D"
"265",2016-03-02,"Levante","Real Madrid",1,3,"A"
"266",2016-03-02,"Malaga","Valencia",1,2,"A"
"267",2016-03-02,"Sevilla","Eibar",1,0,"H"
"268",2016-03-03,"Espanol","Betis",0,3,"A"
"269",2016-03-03,"Granada","Sp Gijon",2,0,"H"
"270",2016-03-03,"Vallecano","Barcelona",1,5,"A"
"271",2016-03-05,"Getafe","Sevilla",1,1,"D"
"272",2016-03-05,"La Coruna","Malaga",3,3,"D"
"273",2016-03-05,"Real Madrid","Celta",7,1,"H"
"274",2016-03-05,"Villarreal","Las Palmas",0,1,"A"
"275",2016-03-06,"Betis","Granada",2,0,"H"
"276",2016-03-06,"Eibar","Barcelona",0,4,"A"
"277",2016-03-06,"Sociedad","Levante",1,1,"D"
"278",2016-03-06,"Sp Gijon","Ath Bilbao",0,2,"A"
"279",2016-03-06,"Valencia","Ath Madrid",1,3,"A"
"280",2016-03-07,"Espanol","Vallecano",2,1,"H"
"281",2016-03-11,"Malaga","Sp Gijon",1,0,"H"
"282",2016-03-12,"Ath Madrid","La Coruna",3,0,"H"
"283",2016-03-12,"Barcelona","Getafe",6,0,"H"
"284",2016-03-12,"Celta","Sociedad",1,0,"H"
"285",2016-03-12,"Vallecano","Eibar",1,1,"D"
"286",2016-03-13,"Ath Bilbao","Betis",3,1,"H"
"287",2016-03-13,"Las Palmas","Real Madrid",1,2,"A"
"288",2016-03-13,"Levante","Valencia",1,0,"H"
"289",2016-03-13,"Sevilla","Villarreal",4,2,"H"
"290",2016-03-14,"Granada","Espanol",1,1,"D"
"291",2016-03-18,"Getafe","Eibar",1,1,"D"
"292",2016-03-19,"Betis","Malaga",0,1,"A"
"293",2016-03-19,"Granada","Vallecano",2,2,"D"
"294",2016-03-19,"La Coruna","Levante",2,1,"H"
"295",2016-03-19,"Sociedad","Las Palmas",0,1,"A"
"296",2016-03-19,"Sp Gijon","Ath Madrid",2,1,"H"
"297",2016-03-20,"Espanol","Ath Bilbao",2,1,"H"
"298",2016-03-20,"Real Madrid","Sevilla",4,0,"H"
"299",2016-03-20,"Valencia","Celta",0,2,"A"
"300",2016-03-20,"Villarreal","Barcelona",2,2,"D"
"301",2016-04-01,"Vallecano","Getafe",2,0,"H"
"302",2016-04-02,"Ath Madrid","Betis",5,1,"H"
"303",2016-04-02,"Barcelona","Real Madrid",1,2,"A"
"304",2016-04-02,"Celta","La Coruna",1,1,"D"
"305",2016-04-02,"Las Palmas","Valencia",2,1,"H"
"306",2016-04-03,"Ath Bilbao","Granada",1,1,"D"
"307",2016-04-03,"Eibar","Villarreal",1,2,"A"
"308",2016-04-03,"Malaga","Espanol",1,1,"D"
"309",2016-04-03,"Sevilla","Sociedad",1,2,"A"
"310",2016-04-04,"Levante","Sp Gijon",0,0,"D"
"311",2016-04-08,"Granada","Malaga",0,0,"D"
"312",2016-04-09,"Betis","Levante",1,0,"H"
"313",2016-04-09,"Espanol","Ath Madrid",1,3,"A"
"314",2016-04-09,"Real Madrid","Eibar",4,0,"H"
"315",2016-04-09,"Sociedad","Barcelona",1,0,"H"
"316",2016-04-10,"Ath Bilbao","Vallecano",1,0,"H"
"317",2016-04-10,"Sp Gijon","Celta",0,1,"A"
"318",2016-04-10,"Valencia","Sevilla",2,1,"H"
"319",2016-04-10,"Villarreal","Getafe",2,0,"H"
"320",2016-04-11,"La Coruna","Las Palmas",1,3,"A"
"321",2016-04-15,"Levante","Espanol",2,1,"H"
"322",2016-04-16,"Celta","Betis",1,1,"D"
"323",2016-04-16,"Eibar","Sociedad",2,1,"H"
"324",2016-04-16,"Getafe","Real Madrid",1,5,"A"
"325",2016-04-16,"Las Palmas","Sp Gijon",1,1,"D"
"326",2016-04-17,"Ath Madrid","Granada",3,0,"H"
"327",2016-04-17,"Barcelona","Valencia",1,2,"A"
"328",2016-04-17,"Malaga","Ath Bilbao",0,1,"A"
"329",2016-04-17,"Sevilla","La Coruna",1,1,"D"
"330",2016-04-17,"Vallecano","Villarreal",2,1,"H"
"331",2016-04-19,"Betis","Las Palmas",1,0,"H"
"332",2016-04-19,"Espanol","Celta",1,1,"D"
"333",2016-04-20,"Ath Bilbao","Ath Madrid",0,1,"A"
"334",2016-04-20,"La Coruna","Barcelona",0,8,"A"
"335",2016-04-20,"Malaga","Vallecano",1,1,"D"
"336",2016-04-20,"Real Madrid","Villarreal",3,0,"H"
"337",2016-04-20,"Sp Gijon","Sevilla",2,1,"H"
"338",2016-04-20,"Valencia","Eibar",4,0,"H"
"339",2016-04-21,"Granada","Levante",5,1,"H"
"340",2016-04-21,"Sociedad","Getafe",1,2,"A"
"341",2016-04-22,"Las Palmas","Espanol",4,0,"H"
"342",2016-04-23,"Ath Madrid","Malaga",1,0,"H"
"343",2016-04-23,"Barcelona","Sp Gijon",6,0,"H"
"344",2016-04-23,"Eibar","La Coruna",1,1,"D"
"345",2016-04-23,"Vallecano","Real Madrid",2,3,"A"
"346",2016-04-24,"Getafe","Valencia",2,2,"D"
"347",2016-04-24,"Levante","Ath Bilbao",2,2,"D"
"348",2016-04-24,"Sevilla","Betis",2,0,"H"
"349",2016-04-24,"Villarreal","Sociedad",0,0,"D"
"350",2016-04-25,"Celta","Granada",2,1,"H"
"351",2016-04-29,"Sp Gijon","Eibar",2,0,"H"
"352",2016-04-30,"Ath Madrid","Vallecano",1,0,"H"
"353",2016-04-30,"Betis","Barcelona",0,2,"A"
"354",2016-04-30,"Granada","Las Palmas",3,2,"H"
"355",2016-04-30,"Sociedad","Real Madrid",0,1,"A"
"356",2016-05-01,"Ath Bilbao","Celta",2,1,"H"
"357",2016-05-01,"Espanol","Sevilla",1,0,"H"
"358",2016-05-01,"La Coruna","Getafe",0,2,"A"
"359",2016-05-01,"Valencia","Villarreal",0,2,"A"
"360",2016-05-02,"Malaga","Levante",3,1,"H"
"361",2016-05-08,"Barcelona","Espanol",5,0,"H"
"362",2016-05-08,"Celta","Malaga",1,0,"H"
"363",2016-05-08,"Eibar","Betis",1,1,"D"
"364",2016-05-08,"Getafe","Sp Gijon",1,1,"D"
"365",2016-05-08,"Las Palmas","Ath Bilbao",0,0,"D"
"366",2016-05-08,"Levante","Ath Madrid",2,1,"H"
"367",2016-05-08,"Real Madrid","Valencia",3,2,"H"
"368",2016-05-08,"Sevilla","Granada",1,4,"A"
"369",2016-05-08,"Sociedad","Vallecano",2,1,"H"
"370",2016-05-08,"Villarreal","La Coruna",0,2,"A"
"371",2016-05-13,"Valencia","Sociedad",0,1,"A"
"372",2016-05-14,"Ath Bilbao","Sevilla",3,1,"H"
"373",2016-05-14,"Ath Madrid","Celta",2,0,"H"
"374",2016-05-14,"Granada","Barcelona",0,3,"A"
"375",2016-05-14,"La Coruna","Real Madrid",0,2,"A"
"376",2016-05-15,"Betis","Getafe",2,1,"H"
"377",2016-05-15,"Espanol","Eibar",4,2,"H"
"378",2016-05-15,"Malaga","Las Palmas",4,1,"H"
"379",2016-05-15,"Sp Gijon","Villarreal",2,0,"H"
"380",2016-05-15,"Vallecano","Levante",3,1,"H"
